# No    Ref    V       B-V     U-B     N
 0042    92  10.640   0.270   0.190    1
 0042   440  10.570   0.270   0.220    5
 0043    92   9.400   0.105   0.010    2
 0043   440   9.360   0.090   0.050    2
 0044    92  10.900   0.330   0.175    2
 0044   440  10.840   0.340   0.210    2
 0045    92   9.880   0.190   0.150    2
 0045   372   9.870   0.180   0.170    1
 0045   440   9.860   0.190   0.190    3
 0045   518   9.880   0.190   0.180    4
 0046    92  10.390   0.390   0.100    1
 0046   440  10.360   0.380   0.110    3
 0047    92   9.670   0.230   0.120    2
 0047   372   9.680   0.220   0.140    1
 0047   440   9.650   0.220   0.170    3
 0047   518   9.690   0.230   0.150    4
 0048    92   8.820     -    -0.270    2
 0048   372   8.800     -    -0.250    1
 0048   440   8.740   0.010  -0.210    3
 0048   518   8.760   0.040  -0.240    3
 0049    92   9.830   1.340   1.440    3
 0049   372   9.820   1.340   1.430    1
 0049   440   9.750   1.360   1.460    3
 0049   518   9.820   1.350   1.420    3
 0050    92  10.120   0.160   0.085    1
 0051    92  10.780   0.290   0.135    2
 0051   440  10.730   0.320   0.170    2
 0052    92  10.290   0.410   0.125    1
 0052   440  10.230   0.410   0.070    2
 0053    92  10.520   0.140   0.110    2
 0053   372  10.530   0.130   0.120    1
 0053   518  10.540   0.140   0.090    4
 0053  1852  10.590   0.130   0.090    3
 0054    92  10.560   0.290   0.135    2
 0054   372  10.540   0.300   0.150    1
 0054   440  10.530   0.270     -      1
 0054   518  10.560   0.310   0.160    4
 0055    92  10.960   0.335   0.135    2
 0055   372  10.970   0.320   0.150    1
 0055   440  10.970   0.330   0.110    1
 0055   518  10.970   0.340   0.150    4
 0056    92  11.380   0.380   0.070    2
 0056   440  11.370   0.400   0.050    1
 0057    92  10.180   0.155   0.135    2
 0057   372  10.180   0.150   0.160    1
 0057   440  10.150   0.150   0.180    2
 0057   518  10.190   0.150   0.170    4
 0058    92   9.660   0.080   0.045    2
 0058   372   9.670   0.070   0.050    1
 0058   440   9.610   0.110   0.010    2
 0058   518   9.670   0.080   0.040    4
 0059   372  10.400   0.300   0.200    1
 0059   518  10.440   0.290   0.200    4
 0060   440  10.540   0.330   0.160    2
 0061   440  11.380   1.090   0.760    1
 0062   440  11.000   0.350   0.120    1
 0063   372   9.210   0.100   0.120    1
 0063   440   9.200   0.110   0.130    3
 0063   518   9.210   0.110   0.150    3
 0064   372  10.050   0.390   0.030    1
 0064   440  10.010   0.400   0.030    2
 0064   518  10.060   0.370   0.050    3
 0065   440   9.860   0.090   0.060    1
 0066   372  10.110   0.210   0.150    1
 0066   440  10.110   0.210   0.160    1
 0066   518  10.140   0.210   0.170    3
 0067   372  10.740   0.320   0.170    1
 0067   440  10.790   0.320   0.170    2
 0067   518  10.770   0.320   0.200    3
 0071    92  12.220   0.690   0.140    1
 0072    92  11.740   0.610   0.060    1
 0072   440  11.750   0.500     -      1
 0072   518  11.700   0.610   0.040    3
 0073    92  12.380   0.615  -0.005    2
 0074    92  11.910   0.580   0.005    2
 0074   440  12.000   0.470   0.100    1
 0075    92  12.060   0.640   0.045    1
 0075   440  12.180   0.610     -      1
 0077    92   9.720   0.115   0.080    2
 0077   372   9.710   0.110   0.090    1
 0077   440   9.650   0.110   0.100    2
 0077   518   9.720   0.110   0.100    3
 0078    92  12.870   0.660   0.085    1
 0078   440  12.740   0.650     -      1
 0078  1852  12.850   0.600   0.050    2
 0079    92  11.670   0.505   0.055    1
 0079   440  11.630   0.520   0.100    2
 0079  1852  11.700   0.470   0.050    3
 0080    92  12.210   1.200   1.130    1
 0080   372  12.170   1.210   1.040    2
 0080   518  12.170   1.200   1.150    4
 0081    92  12.030   0.540   0.050    2
 0081   372  11.970   0.560   0.040    1
 0081   518  11.990   0.560   0.040    4
 0082    92  11.950   0.575   0.015    1
 0082   440  11.980   0.480   0.130    2
 0082   518  11.970   0.540   0.040    3
 0083    92   8.400   0.045  -0.205    1
 0083   440   8.380   0.050  -0.160    2
