# VI-Cousins CCD observations
#  No    Ref    V       V-I
 0156   299  12.639   1.221
 0157   298  14.009   1.112
 0157   299  14.012   1.098
 0158   298  14.406   0.823
 0158   299  14.423   0.828
 0159   298  14.296   0.826
 0159   299  14.301   0.827
 0160   198  13.410   0.880
 0160   298  13.399   0.873
 0160   299  13.423   0.882
 0161   298  13.991   1.166
 0161   299  14.015   1.174
 0162   298  11.642   1.491
 0162   299  11.602   1.497
 0163   298  13.417   0.739
 0163   299  13.439   0.742
 0164   298  13.973   0.835
 0164   299  14.007   0.848
 0165   298  13.914   1.916
 0165   299  13.896   1.907
 0168   298  14.358   0.578
 0168   299  14.445   0.613
 0169   298  13.954   0.735
 0169   299  14.016   0.765
 0170   298  14.640   1.063
 0170   299  14.701   1.088
 0171   298  13.664   0.965
 0171   299  13.576   0.817
 0172   298  13.735   0.896
 0172   299  13.789   0.900
 0173   298  14.801   1.124
 0173   299  15.051   1.150
 0174   298  14.509   1.061
 0174   299  14.660   1.085
 0175   298  14.404   0.801
 0175   299  14.465   0.799
 0176   298  12.336   0.709
 0176   299  12.326   0.718
 0177   198  12.940   0.760
 0177   298  12.871   0.760
 0177   299  12.924   0.764
 0179   249  13.040   1.110
 0179   298  13.035   1.109
 0179   299  13.019   1.100
 0180   298  15.233   1.049
 0180   299  15.264   1.064
 0181   198  14.010   1.000
 0181   298  13.990   0.996
 0181   299  13.976   1.005
 0182   298  15.241   0.911
 0182   299  15.265   0.916
 0186   198  13.260   0.820
 0186   298  13.405   0.838
 0186   299  13.334   0.844
 0187   299  13.492   0.377
 0188   298  14.240   1.000
 0188   299  14.338   1.010
 0189   298  15.115   0.890
 0189   299  15.332   0.930
 0190   298  12.887   0.849
 0190   299  12.901   0.893
 0191   298  14.619   0.787
 0191   299  14.667   0.805
 0195   198  13.320   0.890
 0195   298  13.293   0.875
 0195   299  13.298   0.891
 0196   299  13.987   1.128
 0197   198  12.840   0.860
 0197   298  12.812   0.846
 0197   299  12.817   0.867
 0198   298  14.037   0.979
 0198   299  14.060   0.983
 0199   198  13.750   0.910
 0199   298  13.730   0.907
 0199   299  13.760   0.929
 0200   198  13.070   0.810
 0200   298  13.047   0.794
 0200   299  13.074   0.819
 0201   298  14.472   0.934
 0201   299  14.498   0.954
 0202   298  14.193   0.933
 0202   299  14.233   0.939
 0203   298  13.747   0.856
 0203   299  13.790   0.873
 0205   298  12.161   0.541
 0205   299  12.152   0.554
 0206   299   9.559   0.150
 0207   298  14.717   0.763
 0207   299  14.742   0.791
 0208   299   8.281   0.034
 0209   299   8.740   0.088
 0214   298  13.187   1.391
 0214   299  13.186   1.409
 0215   198  13.130   0.910
 0215   298  13.133   0.881
 0215   299  13.104   0.895
 0216   298  14.333   1.568
 0216   299  14.364   1.601
 0217   298  13.332   1.292
 0217   299  13.312   1.278
 0218   298  14.054   0.783
 0218   299  14.060   0.806
 0219   298  15.290   0.785
 0219   299  15.306   0.815
 0221   298  12.043   0.763
 0221   299  12.078   0.783
 0222   298  11.936   0.653
 0222   299  11.962   0.682
 0223   198  13.900   1.020
 0223   298  13.879   1.019
 0223   299  13.945   1.048
 0227   298  11.111   0.613
 0229   298  10.458   0.228
 0231   298  14.353   1.024
 0232   298  13.871   0.393
 0233   298  14.840   0.830
 0234   298  14.073   0.748
 0235   298  14.239   1.179
 0236   298  14.265   0.972
 0237   298  13.984   1.016
 0238   298  14.048   1.232
 0239   298  14.438   0.965
 0239   299  14.435   0.978
 0240   298  14.601   1.075
 0241   298  14.743   0.774
 0242   298  14.747   0.917
 0243   298  14.066   1.306
 0244   298  13.809   1.259
 0244   299  13.763   1.218
 0247   298  14.127   0.789
 0248   298  14.194   1.157
 0249   298  14.503   0.536
 0249   299  14.515   0.534
 0250   298  13.507   0.998
 0250   299  13.497   1.002
 0251   298  14.531   0.879
 0253   298  14.182   0.820
 0253   299  14.241   0.827
 0255   298  14.451   1.041
 0256   298  14.643   0.779
 0257   298  14.610   0.847
 0257   299  14.634   0.928
 0258   298  14.465   1.418
 0259   298  13.961   0.956
 0260   298  14.462   0.858
 0261   298  13.679   1.418
 0262   298  14.011   0.622
 0262   299  14.081   0.641
 0263   298  14.148   1.195
 0264   298  14.522   1.346
 0265   298  14.389   0.892
 0266   298  14.037   0.941
 0267   298  14.592   0.758
 0301   198  14.720   1.080
 0302   198  14.200   0.990
 0303   198  14.300   1.000
 0303   249  14.740   1.290
 0303   298  14.736   1.286
 0303   299  14.647   1.235
 0304   198  14.530   1.110
 0304   298  14.240   1.019
 0304   299  14.285   1.038
 0305   198  14.830   1.120
 0306   198  13.620   0.890
 0307   198  13.760   0.890
 0315   249  16.320   1.660
 0315   298  16.324   1.655
 0315   299  16.281   1.644
 0316   298  16.601   0.950
 0316   299  16.596   0.938
 0317   249  15.410   1.550
 0317   298  15.410   1.545
 0317   299  15.430   1.569
 0320   249  16.560   1.910
 0320   298  16.555   1.912
 0320   299  16.497   1.685
 0322   298  14.576   1.080
 0322   299  14.792   1.133
 0323   298  15.035   1.200
