# VI-Cousins CCD observations
#  No    Ref    V       V-I
 1428   298  13.312   0.924
 1429   298  12.478   0.790
 1430   298  11.220   0.683
 1431   298  12.479   0.853
 1432   298  13.067   0.880
 1433   298  10.922   1.339
 1434   298  12.239   0.713
 1435   298  12.902   0.905
 1436   298  11.511   1.000
 1438   298  13.430   0.909
 1439   298  12.740   0.776
 1441   298  13.021   0.811
 1442   298  13.302   0.637
 1443   298  12.497   1.343
 1445   298  12.632   0.794
 1446   298  12.744   1.347
 1447   298  13.170   0.892
 1449   298  13.976   0.865
 1450   298  14.391   0.961
 1451   298  13.844   1.365
 1452   298  13.466   1.232
 1453   298  14.461   0.818
 1454   298  13.971   0.867
 1455   298  13.549   1.075
 1456   298  13.306   1.164
 1457   298  13.845   0.803
 1458   298  13.150   1.334
 1459   298  13.845   1.017
 1460   298  13.803   1.154
 1461   298  13.407   1.246
 1462   298  13.593   0.690
 1462   299  13.588   0.693
 1464   298  10.761   0.345
 1465   298  12.613   0.818
 1512   298  11.801   0.819
 1512   299  12.218   0.820
 1513   213  12.594   0.797
 1513   298  12.647   0.802
 1513   299  12.674   0.827
 1514   198  13.860   0.890
 1514   298  13.839   0.922
 1514   299  13.821   0.904
 1515   298  11.404   0.572
 1515   299  11.346   0.579
 1516   298  11.170   0.422
 1516   299  11.107   0.421
 1517   298  13.810   0.641
 1517   299  14.069   0.623
 1518   298  11.742   0.559
 1518   299  11.551   0.601
 1519   298  11.903   1.072
 1519   299  11.821   1.068
 1522   298  13.477   0.725
 1522   299  13.479   0.745
 1523   298  12.483   1.136
 1523   299  12.481   1.177
 1524   298  11.254   0.614
 1524   299  11.224   0.645
 1525   298  13.035   1.092
 1525   299  13.038   1.100
 1526   298  12.759   0.778
 1526   299  12.745   0.787
 1527   298  12.766   0.535
 1527   299  12.757   0.552
 1528   298  13.037   0.814
 1528   299  13.030   0.826
 1530   298  12.771   1.049
 1530   299  12.843   1.060
 1531   298  13.126   0.818
 1531   299  13.130   0.820
 1532   298  11.928   0.641
 1532   299  11.918   0.654
 1533   298  12.297   0.631
 1533   299  12.235   0.703
 1534   298  11.569   0.675
 1534   299  11.557   0.716
 1535   298  12.395   0.736
 1535   299  12.410   0.755
 1536   298  11.289   1.255
 1538   298  12.839   1.134
 1539   298  11.952   1.783
 1540   298  11.925   0.566
 1541   298  12.868   0.774
 1542   298  12.951   1.212
 1543   298  13.264   0.885
 1544   298  13.014   0.799
 1545   298  12.197   2.405
 1546   298  13.645   0.881
 1553   298  12.899   1.361
 1554   298  12.642   1.362
 1555   298  12.623   1.119
 1556   298  11.578   0.641
 1559   298  12.427   0.776
 1562   298  13.657   1.250
 1563   298  13.932   0.654
 1564   298  14.163   0.911
 1565   298  14.191   0.779
 1566   298  14.075   0.805
 1567   298  13.469   1.128
 1567   299  13.507   1.179
 1568   298  14.053   1.072
 1569   298  13.790   0.759
 1569   299  13.800   0.770
 1570   298  14.176   0.821
 1570   299  14.190   0.835
 1571   298  14.212   0.811
 1571   299  14.235   0.847
 1572   298  14.405   0.191
 1572   299  14.380   0.228
 1573   298  14.380   1.048
 1573   299  14.386   1.054
 1576   298  13.903   0.953
 1576   299  13.951   0.992
 1611   213  12.990   0.847
 1611   298  13.035   0.845
 1611   299  13.016   0.865
 1616   213  13.253   0.808
 1616   298  13.291   0.812
 1616   299  13.291   0.831
 1618   298  13.689   0.733
 1618   299  13.703   0.749
 1619   213  13.131   1.448
 1619   298  13.154   1.451
 1619   299  13.160   1.452
 1620   213  13.106   0.800
 1620   298  13.137   0.828
 1620   299  13.160   0.838
 1621   213  13.383   0.840
 1621   298  13.421   0.845
 1621   299  13.401   0.852
 1622   213  13.029   0.780
 1622   298  13.084   0.801
 1622   299  13.108   0.820
 1623   213  13.430   0.786
 1623   298  13.479   0.800
 1623   299  13.481   0.825
 1625   213  13.781   1.002
 1625   298  13.892   0.999
 1625   299  13.821   1.022
 1627   213  13.509   0.837
 1627   298  13.525   0.860
 1628   298  13.268   0.460
 1629   213  13.252   0.819
 1629   298  13.278   0.850
 1630   213  12.290   0.674
 1630   298  12.308   0.676
 1631   213  11.724   0.615
 1631   298  11.714   0.590
 1632   298  13.475   0.785
 1633   298  12.491   1.352
 1634   298  13.843   0.619
 1635   298  13.301   1.212
 1636   298  13.130   0.819
 1637   298  10.940   1.201
 1638   298  10.562   0.258
 1639   298  13.361   0.883
 1642   298  12.692   0.795
 1643   298  10.932   0.421
 1644   298  12.279   0.760
 1645   298  12.508   0.760
 1646   298  13.089   1.229
 1647   298  12.859   1.607
 1648   298  13.267   0.808
 1651   298  14.007   0.789
 1652   298  14.248   0.782
 1653   298  14.260   0.783
 1654   298  14.245   0.815
 1655   298  14.031   0.789
 1656   298  14.092   0.869
 1658   213  14.108   1.017
 1658   298  14.109   1.042
 1658   299  14.184   1.077
 1659   298  14.003   0.720
 1659   299  14.029   0.760
 1660   298  13.724   0.690
 1660   299  13.735   0.722
 1661   298  14.776   0.513
 1661   299  14.814   0.548
 1662   213  13.961   0.884
 1662   298  14.136   0.907
 1662   299  14.005   0.928
 1663   298  14.238   0.763
 1663   299  14.246   0.772
 1664   213  13.756   0.922
 1664   298  13.840   0.963
 1664   299  13.820   0.960
 1665   298  14.770   0.730
 1665   299  14.768   0.749
 1716   298  14.310   0.675
 1716   299  14.324   0.705
 1717   298  14.234   0.741
 1718   298  11.931   1.204
 1720   298  13.552   0.781
 1721   298  12.252   0.573
 1722   298  13.756   0.896
 1723   298  12.431   0.801
 1723   299  12.481   0.822
 1724   298  11.648   0.615
 1724   299  11.829   0.734
 1725   298  13.564   0.939
 1725   299  13.661   0.962
 1727   298  14.006   0.730
 1727   299  14.089   0.738
 1729   298  12.538   1.218
 1729   299  12.629   1.205
 1730   298  12.310   0.923
 1736   298  10.278   1.076
 1737   298  13.230   0.811
 1738   298  13.530   1.286
 1739   298  14.727   0.186
 1740   298  13.434   0.851
 1742   298  11.704   0.795
 1743   298  12.939   0.808
 1744   298  13.978   0.834
 1746   298  12.686   0.711
 1747   298  12.666   0.713
 1748   298  12.947   0.796
 1749   298  13.319   0.731
 1750   298  13.173   0.794
 1751   298  13.700   0.785
 1752   298  11.110   0.471
 1754   298  13.120   1.298
 1755   298  10.971   0.593
 1756   298  11.897   0.711
 1757   298  12.663   0.762
 1807   298  14.273   0.962
 1807   299  14.454   0.899
 1814   298  13.581   1.126
 1814   299  13.635   1.138
 1815   298  13.170   0.775
 1815   299  13.220   0.787
 1816   298  13.049   1.323
 1816   299  13.086   1.327
 1818   298  12.560   0.728
 1818   299  12.613   0.745
 1820   298  14.279   1.085
 1820   299  14.356   1.093
 1822   298  12.067   1.522
 1822   299  12.144   1.546
 1823   298  11.732   0.640
 1823   299  11.765   0.641
 1824   298  13.356   0.777
 1824   299  13.400   0.793
 1825   198  13.590   0.800
 1825   298  13.560   0.819
 1825   299  13.619   0.825
 1826   298  12.879   0.813
 1826   299  12.923   0.807
 1827   299  10.657   1.958
 1828   298  10.707   0.340
 1828   299  10.752   0.354
 1829   298  12.889   0.676
 1829   299  12.957   0.691
 1830   298  13.292   0.819
 1830   299  13.353   0.843
 1831   298  13.097   0.830
 1832   298  12.493   0.750
 1833   298  12.179   0.748
 1834   298  10.778   0.580
 1835   298   9.863   0.169
 1836   298  13.434   0.747
 1837   298  13.327   0.661
 1838   298  13.778   0.838
 1839   298  13.412   0.826
 1841   298  12.381   0.656
 1842   298  13.095   0.938
 1842   299  13.168   0.936
 1843   298  11.757   0.810
 1845   298  13.125   0.704
 1846   298  13.743   0.671
 1847   298  12.165   0.707
 1855   298  14.176   0.798
 1857   298  14.317   0.823
 1858   298  14.274   0.878
 1859   298  11.343   1.463
 1860   298  13.429   0.735
 1860   299  13.519   0.784
 1861   298  13.745   0.948
 1861   299  13.851   0.977
 1862   298  14.433   0.953
 1862   299  14.539   0.979
 1863   298  11.304   0.506
 1863   299  11.380   0.502
 1864   298  13.233   0.873
 1864   299  13.328   0.875
 1865   298  14.612   1.045
 1865   299  14.620   0.927
 1867   298  12.227   0.814
 1867   299  12.313   0.813
 1868   298  12.820   0.817
 1868   299  12.869   0.800
 1869   298  13.721   0.767
 1869   299  13.809   0.792
 1870   298  13.488   1.051
 1870   299  13.566   1.053
 1871   298  14.489   1.013
 1871   299  14.557   1.008
 1872   298  11.575   0.850
 1872   299  11.592   0.894
 1873   298  14.600   0.673
 1873   299  14.671   0.683
 1874   298  12.362   0.741
 1874   299  12.421   0.747
 1875   298  12.000   0.647
 1875   299  12.050   0.656
 1877   298  12.898   0.956
 1877   299  12.910   0.959
 1878   298  13.701   0.838
 1878   299  13.753   0.855
 1879   298  14.774   1.206
 1879   299  14.818   1.222
 1912   298  13.590   0.889
 1912   299  13.676   0.877
 1914   198  13.660   0.850
 1914   298  13.641   0.851
 1914   299  13.722   0.878
 1916   298  11.830   1.293
 1916   299  11.761   1.311
 1919   298  14.215   0.982
 1919   299  14.289   0.979
 1920   298  11.986   0.598
 1920   299  11.956   0.630
 1921   298  12.354   0.672
 1921   299  12.347   0.675
 1923   298  12.990   0.949
 1923   299  13.020   0.954
 1929   298  11.853   0.696
 1929   299  11.810   0.627
 1930   298  13.426   0.824
 1930   299  13.493   0.817
 1931   298  10.849   0.623
 1931   299  10.901   0.670
 1932   298  13.882   0.711
 1932   299  13.973   0.748
 1933   298  12.607   0.864
 1933   299  12.665   0.885
 1934   298  13.813   0.527
 1934   299  13.863   0.544
 1937   298  13.415   0.851
 1937   299  13.487   0.858
 1938   298  13.891   1.206
 1938   299  13.932   1.211
 1939   298  13.842   0.781
 1939   299  13.934   0.831
 1940   298  14.063   0.636
 1941   298  11.882   1.238
 1942   298  12.109   1.051
 1943   298  12.153   1.145
 1944   298  12.134   0.563
 1945   198  13.340   0.900
 1945   298  13.318   0.900
 1946   298  10.798   0.349
 1947   298  12.801   0.683
 1948   298  13.262   0.546
 1949   298  12.062   0.744
 1950   298  13.660   0.781
 1955   298  13.365   0.619
 1956   298  13.269   0.794
 1957   298  12.432   1.165
 1958   298  10.177   0.207
 1959   298  14.089   0.777
 1960   298  13.771   1.030
 1961   298  14.340   1.179
 1962   298  12.288   0.663
 1963   298  13.535   0.665
 1964   198  13.530   0.890
 1964   298  13.510   0.894
 1965   298  13.031   0.959
 1966   298  10.850   0.360
 1967   298  12.164   0.745
 1968   298  13.293   1.132
 1969   298  12.437   0.727
 1970   298  12.178   0.588
 1971   298  12.520   0.338
 1972   298  14.353   0.700
 1973   298  13.906   1.237
 1974   298  13.710   0.832
 1976   298  13.665   0.715
 1976   299  13.730   0.753
 2003   298  14.418   0.820
 2003   299  14.446   0.806
 2004   298  16.542   0.794
 2004   299  16.591   0.771
 2005   298  16.214   1.089
 2005   299  16.397   0.839
 2006   298  16.391   0.873
 2006   299  16.443   0.855
 2007   298  14.653   0.887
 2007   299  14.701   0.881
 2009   298  15.102   0.857
 2009   299  15.136   0.906
 2011   298  15.896   0.880
 2011   299  15.934   0.910
 2012   298  16.190   0.996
 2012   299  16.232   0.993
 2013   298  15.838   0.854
 2013   299  15.868   0.852
 2014   298  16.889   1.140
 2014   299  16.931   1.108
 2019   298  16.818   1.180
 2019   299  16.854   1.206
 2020   298  16.856   1.041
 2020   299  16.889   1.005
 2021   298  16.795   1.029
 2021   299  16.822   1.004
 2022   298  15.550   1.185
 2022   299  15.597   1.144
 2023   298  15.507   0.802
 2023   299  15.551   0.815
 2026   298  16.678   1.294
 2026   299  16.720   1.238
 2027   298  14.558   1.081
 2027   299  14.586   1.033
 2029   298  14.742   1.318
 2029   299  14.910   1.151
 2030   298  14.590   1.260
 2030   299  14.601   1.276
 2031   298  13.569   0.903
 2031   299  13.603   0.895
 2032   298  16.392   0.806
 2032   299  16.419   0.827
 2033   298  14.469   1.237
 2033   299  14.478   1.235
 2035   298  16.849   0.962
 2035   299  16.865   0.974
 2036   298  15.266   0.809
 2036   299  15.290   0.817
 2037   298  16.672   1.030
 2037   299  16.703   1.033
 2039   298  15.768   0.926
 2039   299  15.800   0.958
 2040   298  16.845   1.120
 2040   299  16.841   1.070
 2041   298  16.062   0.591
 2041   299  16.089   0.637
 2042   298  15.149   1.321
 2042   299  15.165   1.225
 2043   298  16.199   1.126
 2043   299  16.179   1.128
 2047   298  16.891   1.085
 2047   299  16.928   1.062
 2048   298  16.794   0.899
 2048   299  16.830   0.936
 2049   298  16.362   1.610
 2049   299  16.307   1.582
 2050   298  16.900   0.928
 2050   299  16.912   0.984
 2051   298  15.356   0.790
 2051   299  15.363   0.824
 2052   299  13.497   0.965
 2054   298  15.688   0.860
 2054   299  15.707   0.856
 2055   298  16.082   2.222
 2055   299  16.096   2.211
 2056   298  16.910   0.946
 2056   299  16.943   0.950
 2058   298  16.241   0.870
 2058   299  16.258   0.866
 2060   298  16.072   0.937
 2060   299  16.082   0.939
 2061   298  16.151   0.878
 2061   299  16.168   0.898
 2062   298  16.654   0.917
 2062   299  16.789   0.965
 2063   298  15.858   0.852
 2063   299  15.900   0.864
 2064   298  16.954   0.788
 2064   299  16.987   0.822
 2065   298  14.942   0.776
 2065   299  14.968   0.830
 2066   298  16.702   0.760
 2066   299  16.417   0.718
 2067   298  15.754   0.959
 2067   299  15.773   0.991
 2068   298  16.840   0.922
 2068   299  16.860   0.936
 2069   298  15.895   0.962
 2069   299  15.897   0.976
 2070   298  15.594   0.991
 2070   299  15.577   0.935
 2071   298  15.891   1.127
 2071   299  15.918   1.149
 2072   298  11.450   0.545
 2072   299  11.681   0.587
 2074   298  16.518   1.425
 2074   299  16.525   1.414
 2076   298  14.915   0.760
 2076   299  14.892   0.807
 2077   298  15.751   0.888
 2077   299  15.767   0.895
 2078   298  16.366   1.077
 2078   299  16.404   1.062
 2079   298  16.480   2.569
 2080   298  14.352   0.765
 2080   299  14.367   0.789
 2083   298  16.470   0.971
 2083   299  16.468   0.969
 2085   298  14.640   0.797
 2085   299  14.641   0.812
 2086   298  16.025   1.640
 2086   299  15.907   1.512
 2087   298  16.609   0.838
 2087   299  16.620   0.844
 2088   298  16.826   0.865
 2088   299  16.882   0.891
 2089   298  14.797   1.145
 2089   299  14.823   1.148
 2090   298  15.446   0.942
 2090   299  15.450   0.946
 2091   298  15.560   1.220
 2091   299  15.569   1.215
 2092   298  15.604   1.099
 2092   299  15.625   1.085
 2093   298  15.647   0.926
 2093   299  15.665   0.977
 2094   298  16.590   0.913
 2094   299  16.606   0.916
 2095   298  16.643   0.803
 2095   299  16.671   0.813
 2096   298  15.930   0.949
 2096   299  16.082   0.943
 2098   298  15.931   0.910
 2098   299  16.013   0.917
 2099   298  16.514   1.280
 2099   299  16.569   1.295
 2100   298  16.592   0.868
 2100   299  16.618   0.926
 2101   298  14.196   1.323
 2101   299  14.186   1.317
 2102   298  16.873   1.253
 2102   299  16.866   1.215
 2103   298  15.042   0.781
 2103   299  15.060   0.798
 2104   298  16.562   0.931
 2104   299  16.539   0.909
 2105   298  14.674   1.277
 2105   299  14.668   1.260
 2107   298  15.638   0.748
 2107   299  15.682   0.758
 2108   298  16.843   1.326
 2108   299  16.853   1.324
 2109   298  16.004   1.059
 2109   299  16.009   1.059
 2110   298  14.918   0.788
 2110   299  14.943   0.826
 2111   298  15.816   0.916
 2111   299  15.835   0.924
 2112   298  16.184   0.935
 2112   299  16.233   0.963
 2113   298  16.398   0.900
 2113   299  16.416   0.931
 2116   298  14.915   0.925
 2116   299  14.937   0.933
 2117   298  15.578   0.896
 2117   299  15.592   0.928
 2118   298  15.264   0.911
 2118   299  15.272   0.894
 2121   298  15.788   1.034
 2121   299  15.789   1.018
 2122   298  14.131   1.199
 2122   299  14.129   1.190
 2123   298  15.985   0.765
 2123   299  16.004   0.803
 2124   298  14.493   0.773
 2124   299  14.494   0.796
 2125   298  15.406   1.163
 2125   299  15.470   1.176
 2126   298  16.679   0.836
 2126   299  16.692   0.856
 2127   298  15.941   0.878
 2127   299  15.968   0.906
 2129   298  16.682   1.096
 2129   299  16.741   1.099
 2130   298  15.050   1.018
 2130   299  15.044   1.009
 2131   298  16.306   0.893
 2131   299  16.318   0.925
 2132   298  14.244   0.850
 2132   299  14.231   0.850
 2133   298  14.515   0.795
 2133   299  14.527   0.823
 2134   298  16.610   0.741
 2134   299  16.662   0.803
 2135   298  16.216   0.917
 2135   299  16.208   0.937
 2136   298  10.609   0.321
 2136   299  10.545   0.306
 2139   298  16.947   0.929
 2139   299  16.989   0.974
 2140   298  16.771   1.023
 2140   299  16.769   1.005
 2143   298  16.930   0.749
 2143   299  16.948   0.785
 2144   298  15.631   1.025
 2144   299  15.650   1.028
 2145   298  14.605   0.920
 2145   299  14.664   0.903
 2146   298  15.695   0.882
 2146   299  15.714   0.900
 2147   298  16.451   0.863
 2147   299  16.466   0.872
 2148   298  15.502   0.906
 2148   299  15.545   0.892
 2149   299  15.633   1.258
 2150   299  16.200   1.329
 2153   298  15.136   0.959
 2153   299  15.162   0.987
 2154   298  16.785   0.943
 2154   299  16.856   0.957
 2157   298  15.696   0.788
 2157   299  15.716   0.799
 2158   298  16.215   0.964
 2158   299  16.257   0.996
 2159   298  15.303   0.871
 2159   299  15.336   0.878
 2162   298  16.666   0.873
 2162   299  16.698   0.899
 2163   298  16.454   0.817
 2163   299  16.470   0.829
 2164   298  15.103   0.708
 2164   299  15.116   0.706
 2165   298  16.129   1.130
 2165   299  16.157   1.156
 2167   298  14.765   0.826
 2167   299  14.824   0.843
 2168   298  16.409   0.945
 2168   299  16.407   0.939
 2169   298  16.765   0.977
 2169   299  16.825   0.960
 2171   298  16.955   1.154
 2171   299  16.997   1.226
 2172   298  14.396   1.044
 2172   299  14.443   1.046
 2175   298  16.763   0.877
 2175   299  16.747   1.024
 2176   298  15.321   1.254
 2176   299  15.325   1.258
 2177   298  15.946   1.012
 2177   299  15.972   1.049
 2178   298  14.621   1.367
 2178   299  14.638   1.351
 2179   298  14.299   1.001
 2179   299  14.311   1.012
 2181   298  16.147   1.015
 2181   299  16.159   1.014
 2182   298  16.541   0.864
 2182   299  16.590   0.862
 2183   298  16.693   1.036
 2183   299  16.701   1.060
 2184   298  15.282   0.862
 2184   299  15.299   0.896
 2185   298  16.723   0.885
 2185   299  16.750   0.904
 2186   298  16.098   0.769
 2186   299  16.117   0.783
 2188   298  16.016   0.985
 2188   299  15.991   0.984
 2189   298  15.267   0.778
 2189   299  15.295   0.804
 2190   298  16.495   0.958
 2190   299  16.516   0.992
 2191   298  16.325   0.833
 2191   299  16.346   0.862
 2192   298  16.813   0.834
 2192   299  16.693   0.914
 2193   298  14.625   1.239
 2193   299  14.638   1.250
 2194   298  15.617   1.112
 2194   299  15.607   1.117
 2195   298  15.934   0.984
 2195   299  15.936   0.952
 2197   298  16.349   1.181
 2197   299  16.327   1.141
 2199   298  15.244   1.146
 2199   299  15.023   1.154
 2200   298  15.134   1.215
 2200   299  15.193   1.226
 2201   298  16.757   0.924
 2201   299  16.766   0.928
 2202   298  15.123   1.237
 2202   299  15.128   0.834
 2203   298  15.540   0.942
 2203   299  15.535   0.959
 2204   298  15.482   0.931
 2204   299  15.489   0.961
 2205   298  15.995   1.084
 2205   299  15.957   1.075
 2206   298  15.461   0.879
 2206   299  15.265   0.857
 2207   298  15.270   0.961
 2207   299  15.305   0.977
 2208   298  14.960   0.779
 2208   299  14.952   0.782
 2209   298  16.412   1.887
 2209   299  16.406   1.666
 2210   298  16.870   0.942
 2210   299  16.868   0.960
 2211   298  16.491   1.218
 2211   299  16.515   1.230
 2212   298  15.711   1.380
 2212   299  15.618   1.144
 2213   298  14.461   0.969
 2213   299  14.461   0.982
 2214   298  16.411   0.984
 2214   299  16.417   0.993
 2215   298  16.346   0.875
 2215   299  16.368   0.877
 2217   298  15.646   1.016
 2217   299  15.655   1.018
 2219   298  15.995   0.859
 2219   299  15.989   0.850
 2221   298  15.844   1.141
 2221   299  15.866   1.169
 2222   298  16.754   0.834
 2222   299  16.778   0.862
 2223   298  16.478   0.812
 2223   299  16.513   0.880
 2224   298  16.803   0.822
 2224   299  16.839   0.850
 2225   298  16.523   0.882
 2225   299  16.561   0.905
 2226   298  15.902   0.885
 2226   299  15.938   0.918
 2227   299  14.361   1.037
 2228   298  15.946   0.912
 2228   299  15.937   0.903
 2229   298  15.661   1.358
 2229   299  15.684   1.374
 2230   298  16.922   0.933
 2230   299  16.925   0.920
 2231   298  13.520   0.988
 2231   299  14.011   0.960
 2232   298  15.227   1.222
 2232   299  15.224   1.228
 2233   298  16.624   0.996
 2233   299  16.638   0.998
 2234   298  15.663   0.853
 2234   299  15.671   0.863
 2235   298  16.943   1.842
 2235   299  16.959   1.804
 2236   298  16.820   0.938
 2236   299  16.845   0.954
 2237   298  15.763   1.112
 2237   299  15.774   1.105
 2238   298  16.515   0.962
 2238   299  16.561   0.982
 2242   298  16.508   1.667
 2242   299  16.497   1.647
 2243   298  16.300   0.685
 2243   299  16.296   0.694
 2244   298  15.645   0.784
 2244   299  15.672   0.812
 2245   298  16.824   0.942
 2245   299  16.859   0.974
 2247   298  16.573   1.034
 2247   299  16.614   1.030
 2248   298  15.331   0.874
 2248   299  15.323   0.883
 2249   298  15.774   0.834
 2249   299  15.797   0.842
 2250   298  16.468   0.937
 2250   299  16.528   0.938
 2251   298  16.703   0.720
 2251   299  16.668   0.895
 2252   298  16.587   0.892
 2252   299  16.616   0.908
 2254   298  14.999   1.201
 2254   299  15.001   1.176
 2255   298  16.506   0.888
 2255   299  16.515   0.912
 2256   298  16.375   1.321
 2256   299  16.384   1.332
 2257   298  16.412   0.998
 2257   299  16.473   0.980
 2258   298  16.339   0.992
 2258   299  16.372   0.983
 2261   298  17.072   1.037
 2261   299  16.969   1.161
 2262   298  14.637   1.131
 2262   299  14.630   1.127
 2263   298  15.273   0.746
 2263   299  15.280   0.771
 2264   298  16.708   0.844
 2264   299  16.727   0.860
 2265   298  15.378   0.900
 2265   299  15.406   0.920
 2266   298  15.301   0.898
 2266   299  15.345   0.913
 2267   298  16.736   0.995
 2267   299  16.760   1.008
 2268   298  14.857   0.914
 2268   299  14.897   0.920
 2269   298  14.942   1.519
 2269   299  14.965   1.526
 2271   298  16.518   0.835
 2271   299  16.562   0.854
 2272   298  16.320   0.964
 2272   299  16.363   0.973
 2273   298  16.713   1.965
 2273   299  16.726   1.946
 2274   298  16.661   0.973
 2274   299  16.671   0.951
 2275   298  16.653   0.774
 2275   299  16.687   0.803
 2277   298  15.579   0.807
 2277   299  15.632   0.823
 2279   298  16.539   1.341
 2279   299  16.554   1.348
 2280   298  15.827   0.844
 2280   299  15.876   0.886
 2281   299  16.080   1.058
 2282   298  16.224   0.867
 2282   299  16.234   0.879
 2284   298  15.428   1.232
 2284   299  15.457   1.242
 2285   298  15.043   1.158
 2285   299  15.068   1.162
 2286   298  14.156   0.836
 2286   299  14.183   0.851
 2287   298  16.522   1.107
 2287   299  16.532   1.247
 2289   298  14.592   1.096
 2289   299  14.641   1.100
 2293   299  16.765   0.902
 2294   298  16.879   0.849
 2294   299  16.928   0.852
 2295   298  14.551   0.826
 2295   299  14.585   0.844
 2296   298  14.948   0.737
 2296   299  15.018   0.742
 2297   298  16.771   0.906
 2297   299  16.806   0.909
 2298   298  16.568   1.065
 2298   299  16.588   1.071
 2300   298  16.581   1.083
 2300   299  16.614   1.091
 2301   298  15.153   0.853
 2301   299  15.192   0.875
 2302   298  16.308   0.804
 2302   299  16.339   0.827
 2303   299  16.082   0.102
 2304   298  14.826   0.746
 2304   299  15.318   0.849
 2305   299  13.167   1.061
 2308   298  15.771   1.375
 2308   299  15.795   1.373
 2309   298  14.701   1.094
 2309   299  14.722   1.084
 2311   298  16.009   0.948
 2311   299  16.042   0.984
 2313   298  14.491   0.733
 2313   299  14.516   0.758
 2314   298  16.668   1.733
 2314   299  16.700   1.721
 2315   298  16.354   0.998
 2315   299  16.526   0.961
 2318   298  14.484   0.919
 2318   299  14.606   0.886
 2324   298  16.768   1.154
 2324   299  16.811   1.148
 2325   298  16.691   1.042
 2325   299  16.739   1.072
 2326   298  14.907   1.185
 2326   299  14.926   1.156
 2329   298  15.359   0.901
 2329   299  15.450   0.859
 2330   298  14.610   1.060
 2330   299  14.663   1.093
 2331   298  16.881   0.839
 2331   299  16.925   0.837
 2333   298  14.184   1.007
 2333   299  14.196   1.002
 2334   298  14.750   0.746
 2334   299  14.773   0.768
 2335   298  15.886   0.914
 2335   299  15.919   0.955
 2336   298  14.318   1.379
 2336   299  14.307   1.381
 2337   298  15.747   1.095
 2337   299  15.767   1.081
 2339   298  14.740   0.718
 2339   299  14.846   0.708
 2342   298  15.068   0.750
 2342   299  15.041   0.828
 2343   298  16.363   0.916
 2343   299  16.395   0.936
 2344   298  16.193   0.883
 2344   299  16.192   0.885
 2345   298  16.661   0.810
 2345   299  16.693   0.784
 2347   298  13.173   0.945
 2347   299  13.477   0.871
 2348   299  15.655   0.854
 2349   298  15.808   0.946
 2349   299  15.826   0.956
 2351   298  16.389   0.911
 2351   299  16.424   0.936
 2352   298  16.276   0.867
 2352   299  16.302   0.890
 2353   298  12.226   0.986
 2353   299  12.251   1.222
 2354   298  16.797   0.974
 2354   299  16.828   0.986
 2355   298  15.515   1.157
 2355   299  15.536   1.160
 2356   298  16.609   0.851
 2356   299  16.655   0.900
 2357   298  16.775   0.979
 2357   299  16.820   0.972
 2359   298  16.240   1.028
 2359   299  16.285   1.043
 2361   298  15.606   0.978
 2361   299  15.631   0.939
 2362   298  16.071   1.186
 2362   299  16.067   1.156
 2363   298  15.605   0.937
 2363   299  15.618   0.931
 2366   298  14.578   1.128
 2366   299  14.595   1.144
 2367   298  15.259   0.866
 2367   299  15.298   0.896
 2369   298  16.628   1.149
 2369   299  16.670   1.129
 2370   298  16.659   0.874
 2370   299  16.733   0.954
 2371   298  15.064   1.413
 2371   299  14.712   1.316
 2372   298  15.935   1.495
 2372   299  16.057   1.535
 2373   298  16.885   0.798
 2373   299  16.947   0.825
 2374   298  15.186   0.841
 2374   299  15.208   0.839
 2375   298  16.932   0.854
 2375   299  16.980   0.835
 2377   298  16.318   1.286
 2377   299  16.333   1.263
 2378   298  16.462   0.806
 2378   299  16.487   0.819
 2379   298  15.543   0.960
 2379   299  15.555   0.957
 2381   298  15.987   0.989
 2381   299  16.060   1.030
 2382   298  16.952   0.894
 2382   299  16.998   0.914
 2383   298  16.754   1.124
 2383   299  16.827   1.151
 2384   298  16.220   0.862
 2384   299  16.304   0.886
 2385   298  14.970   0.785
 2385   299  14.987   0.802
 2387   298  16.759   1.180
 2387   299  16.797   1.187
 2390   298  16.755   0.885
 2390   299  16.779   0.900
 2391   299  15.504   0.759
 2393   298  13.643   0.960
 2393   299  13.667   0.957
 2394   298  16.885   0.980
 2394   299  16.926   0.996
 2395   298  15.425   0.904
 2395   299  15.453   0.913
 2396   298  15.774   0.882
 2396   299  15.808   0.897
 2398   298  15.685   0.854
 2398   299  15.716   0.866
 2399   298  14.287   1.007
 2399   299  14.253   1.007
 2401   298  16.803   0.853
 2401   299  16.861   0.899
 2402   298  15.096   0.966
 2402   299  15.140   0.988
 2404   298  16.633   0.963
 2404   299  16.686   0.983
 2406   298  15.545   1.208
 2406   299  15.571   1.158
 2408   298  16.262   1.285
 2408   299  16.319   1.281
 2410   299  16.127   1.056
 2412   298  16.952   1.100
 2412   299  16.994   1.084
 2413   298  15.127   1.005
 2413   299  15.325   1.003
 2415   298  16.303   0.924
 2415   299  16.324   0.935
 2416   298  16.651   0.972
 2416   299  16.666   0.976
 2417   298  15.894   1.133
 2417   299  15.928   1.151
 2418   298  16.265   0.900
 2418   299  16.279   0.898
 2421   298  15.790   0.789
 2421   299  15.805   0.845
 2422   298  16.113   0.771
 2422   299  16.150   0.795
 2423   298  15.752   0.979
 2423   299  15.779   1.005
 2426   298  16.813   1.091
