# No    Ref    V       V-R     R-I
 0693   213  20.764   1.205   2.071
 0694   213  18.581   0.954   1.587
 0695   213  15.837   0.664   0.773
 0696   213  15.265   0.483   0.729
 0697   213  19.824   1.081   1.871
 0698   213  19.065   0.928   1.561
 0699   213  15.463   0.529   0.624
 0700   213  15.133   0.357   0.640
 0701   213  16.532   0.649   0.885
 0702   213  16.634   0.696   0.835
 1513   213  12.594   0.250   0.547
 1611   213  12.990   0.266   0.581
 1616   213  13.253   0.230   0.578
 1619   213  13.131   0.569   0.879
 1620   213  13.106   0.228   0.572
 1621   213  13.383   0.269   0.571
 1622   213  13.029   0.233   0.547
 1623   213  13.430   0.234   0.552
 1625   213  13.781   0.353   0.649
 1627   213  13.252   0.263   0.556
 1627   213  13.509   0.275   0.562
 1630   213  12.290   0.178   0.496
 1631   213  11.724   0.119   0.496
 1658   213  14.108   0.381   0.636
 1662   213  13.961   0.265   0.619
 1664   213  13.756   0.300   0.622
