# period    V    I    K    SNR    RV    e_RV    vsini    e_vsini    Rsini    R    log(L)    amp   mass
  1.142     20.03     17.18     14.71    11.0      0.41       1.2      19.0       3.6     0.428     0.515     -1.86     0.015      0.32
  0.586     20.50     17.57     15.23    7.0      0.21       2.7      28.1       3.8     0.325     0.391     -2.00     0.015      0.26
  1.051     17.40     15.31     13.26    27.0      1.52       0.7      26.6       1.7     0.552     0.663     -1.18     0.025      0.59
  0.959     17.51     15.29     13.24    32.0      0.14       0.7      28.7       1.6     0.543     0.653     -1.17     0.022      0.59
  0.267     18.80     16.27     14.03    17.0      2.00       3.0      57.9       2.0     0.305     0.367     -1.53     0.007      0.45
  0.761     17.57     15.36     13.35    30.0      0.71       0.7      28.1       1.6     0.422     0.507     -1.19     0.031      0.58
  0.481     20.51     17.48     15.01    8.0      3.86       4.4      44.2       3.4     0.420     0.504     -1.95     0.032      0.27
  0.367     18.66     16.08     13.83    9.0      7.24       3.7      44.1       3.1     0.319     0.384     -1.45     0.024      0.48
  0.452     17.11     15.20     13.13    18.0      3.10       2.8      55.3       1.9     0.493     0.593     -1.16     0.024      0.60
  0.392     19.56     16.64     14.30    10.0      1.15       3.1      40.3       2.7     0.312     0.375     -1.63     0.041      0.40
  1.392     20.31     17.38     15.06    6.0      0.85       2.5      18.8       6.3     0.516     0.621     -1.93     0.023      0.29
  3.168     17.30     15.09     12.91    30.0      0.33       0.5       9.4       4.1     0.588     0.706     -1.08     0.013      0.62
  0.713     20.12     17.06     14.64    8.0      0.07       2.5      27.9       3.6     0.393     0.472     -1.78     0.015      0.34
  0.332     17.47     15.35     13.33    9.0      1.63       7.1      67.5       3.7     0.442     0.532     -1.20     0.017      0.58
  1.159     18.64     16.31     14.13    22.0      0.65       0.7      20.8       2.4     0.476     0.572     -1.56     0.012      0.45
  0.864     19.17     16.55     14.28    15.0      0.41       1.1      23.3       2.5     0.397     0.478     -1.64     0.008      0.41
  1.143     19.69     16.92     14.59    9.0      1.56       1.7      21.5       3.7     0.485     0.583     -1.77     0.019      0.36
  1.262     18.88     16.19     13.90    16.0      0.08       0.9      19.5       2.9     0.486     0.584     -1.48     0.008      0.47
  1.675     18.86     16.35     14.30    20.0      0.35       0.7      14.5       3.4     0.479     0.576     -1.56     0.007      0.44
  0.528     20.60     17.59     15.32    6.0      0.17       3.9      32.9       4.4     0.343     0.412     -2.00     0.013      0.26
  0.332     17.37     15.09     12.94    41.0      0.17       1.1      51.7       1.2     0.339     0.407     -1.08     0.026      0.62
  0.771     19.58     16.87     14.65    14.0      0.90       1.0      18.4       3.3     0.280     0.337     -1.76     0.009      0.37
  0.715     20.02     17.20     14.71    12.0      0.62       2.0      34.4       2.3     0.485     0.583     -1.87     0.029      0.31
  1.857     18.99     16.46     14.31    13.0      0.61       1.0      15.5       3.8     0.568     0.683     -1.61     0.018      0.43
  1.179     19.22     16.47     13.99    14.0      1.15       1.0      18.8       3.2     0.437     0.526     -1.59     0.009      0.42
  2.799     17.34     15.08     12.96    38.0      0.30       0.4       8.8       4.3     0.486     0.584     -1.08     0.012      0.62
  0.489     16.96     14.96     12.76    39.0      0.93       1.0      47.8       1.2     0.461     0.554     -1.04     0.009      0.64
  1.758     18.99     16.44     14.13    20.0      1.04       0.6      12.1       3.0     0.420     0.505     -1.60     0.018      0.43
  0.809     20.16     17.39     15.06    10.0      0.25       1.9      27.3       3.0     0.436     0.524     -1.95     0.037      0.28
  0.564     19.98     17.20     14.68    9.0      0.44       2.1      25.4       3.4     0.283     0.340     -1.88     0.014      0.31
  0.542     20.49     17.59     15.24    8.0      1.15       3.7      38.2       3.7     0.409     0.491     -2.01     0.023      0.26
  0.518     18.95     16.17     13.89    20.0      1.28       1.5      41.0       1.6     0.419     0.504     -1.46     0.014      0.47
  0.737     20.74     17.78     15.03    6.0      0.05       3.1      28.8       4.2     0.419     0.503     -2.08     0.014      0.23
  0.975     20.05     17.25     14.99    10.0      0.54       1.2      15.8       4.4     0.304     0.365     -1.89     0.030      0.30
  2.904     19.23     16.51     14.31    18.0      0.87       0.7       9.9       4.6     0.567     0.682     -1.61     0.013      0.42
  0.667     19.35     16.63     14.37    17.0      0.71       1.1      27.1       2.1     0.357     0.429     -1.66     0.029      0.40
  1.054     19.46     16.83     14.57    14.0      0.73       1.4      27.5       2.4     0.572     0.688     -1.75     0.024      0.37
  0.807     20.39     17.47     14.90    8.0      1.31       2.2      25.5       3.7     0.406     0.488     -1.96     0.032      0.27
  0.707     20.69     17.71     15.82    7.0      0.33       3.0      28.9       4.1     0.403     0.485     -2.05     0.020      0.24
  0.290     17.92     15.65     13.54    24.0      3.09       3.7      79.5       1.8     0.455     0.547     -1.30     0.014      0.54
  0.328     16.47     14.79     12.81    40.0      0.68       3.2      95.9       1.4     0.621     0.746     -1.02     0.045      0.66
  2.205     18.49     16.03     13.74    23.0      0.72       0.5       9.4       4.4     0.409     0.492     -1.44     0.017      0.49
  0.780     20.60     17.61     15.18    8.0      0.69       1.4      10.7       4.8     0.165     0.198     -2.01     0.026      0.25
  1.216     16.83     15.07     13.04    39.0      0.39       0.5      24.0       1.9     0.576     0.692     -1.14     0.049      0.62
  1.747     19.03     16.37     14.02    18.0      1.18       0.7      13.0       3.2     0.448     0.539     -1.56     0.023      0.44
  1.685     19.07     16.46     14.08    17.0      1.90       0.8      17.3       3.2     0.575     0.691     -1.61     0.016      0.43
  0.282     20.52     17.56     15.14    8.0      0.09       5.5      52.3       3.6     0.291     0.350     -1.99     0.021      0.26
  0.418     18.18     15.86     13.60    26.0      0.52       1.0      34.4       1.5     0.284     0.341     -1.39     0.016      0.51
  1.915     16.94     14.97     12.90    41.0      1.05       0.4      16.5       2.6     0.624     0.749     -1.05     0.028      0.64
  0.491     18.54     16.07     13.70    26.0      0.74       0.7      31.4       1.5     0.304     0.366     -1.46     0.016      0.48
  1.638     19.98     17.18     14.62    9.0      1.36       0.8       9.1       4.5     0.294     0.354     -1.87     0.015      0.32
  2.155     19.54     16.83     14.55    11.0      1.11       1.1      14.6       4.3     0.621     0.746     -1.74     0.010      0.37
  0.409     16.02     14.52     12.75    49.0      1.37       1.0      68.1       1.0     0.550     0.661     -0.91     0.023      0.70
  0.384     19.42     16.73     14.41    12.0      3.82       2.2      44.9       1.8     0.340     0.409     -1.70     0.016      0.39
  0.596     19.55     16.83     14.35    12.0      1.53       1.6      37.8       1.8     0.445     0.534     -1.74     0.015      0.37
  1.546     18.98     16.36     14.08    20.0      0.74       0.6      13.3       3.9     0.406     0.488     -1.56     0.011      0.44
  0.458     21.09     18.05     15.44    6.0      2.96       5.9      43.3       4.8     0.391     0.470     -2.18     0.033      0.20
  0.266     19.57     16.84     14.43    16.0      3.56       7.7      93.5       3.0     0.491     0.590     -1.74     0.009      0.37
  0.872     20.10     17.22     14.66    12.0      1.24       1.5      26.6       2.6     0.458     0.550     -1.87     0.023      0.31
  0.965     18.96     16.39     14.06    20.0      1.56       1.0      26.1       2.0     0.497     0.597     -1.58     0.007      0.44
  0.584     20.49     17.56     14.84    9.0      1.61       2.2      28.3       3.2     0.326     0.392     -2.00     0.025      0.26
  0.397     20.79     17.71     15.15    8.0      0.08       2.5      30.8       3.2     0.241     0.290     -2.04     0.025      0.24
  0.498     20.03     17.03     14.51    13.0      0.44       1.7      30.4       2.3     0.299     0.359     -1.78     0.019      0.34
  0.605     19.62     16.95     14.56    13.0      2.47       1.8      32.9       2.2     0.393     0.472     -1.79     0.010      0.35
  0.486     19.23     16.60     14.34    15.0      1.52       1.1      24.4       2.4     0.234     0.281     -1.66     0.008      0.41
  0.839     18.47     16.05     13.84    20.0      0.98       1.2      33.1       1.7     0.548     0.659     -1.45     0.014      0.48
  0.313     17.90     15.64     13.41    14.0     10.46       6.7      81.9       2.9     0.506     0.608     -1.30     0.024      0.54
  0.306     20.73     17.60       nan    7.0     11.46       9.9      68.9       4.8     0.416     0.500     -1.98     0.029      0.26
  1.741     19.86     16.98     14.54    13.0      1.16       0.9      12.0       4.5     0.412     0.496     -1.78     0.017      0.35
  1.320     20.23     17.32     14.90    8.0      2.08       1.5      14.3       5.7     0.373     0.448     -1.91     0.021      0.29
  0.709     19.01     16.37     14.18    16.0      0.22       1.3      27.8       2.2     0.389     0.468     -1.56     0.017      0.44
  0.714     18.44     16.02     13.83    15.0      0.86       1.8      36.4       2.0     0.513     0.616     -1.44     0.009      0.49
  1.446     19.81     17.03     14.65    9.0      1.22       1.6      17.9       4.6     0.511     0.614     -1.81     0.017      0.34
